N°,Título,Link
2, El BCRA reforzará los controles sobre la operación con criptomonedas,https://www.ambito.com/economia/bitcoin/argentina-reforzara-los-controles-la-operacion-criptomonedas-n5247415
3, La UIA sugiere no pagar sueldo a los empleados que no quieran vacunarse ,https://www.ambito.com/economia/uia/la-sugiere-no-pagar-sueldo-los-empleados-que-no-quieran-vacunarse-n5247433
4, Alberto Fernández tomó juramento a Zabaleta y Taiana y cambia el Gabinete,https://www.ambito.com/politica/alberto-fernandez/tomo-juramento-zabaleta-y-taiana-y-cambia-el-gabinete-n5247270
5," Pesce: ""El BCRA tiene $3,7 billones esterilizados en Leliq y Pases que necesitamos se transformen en inversión""",https://www.ambito.com/economia/mercado-capitales/miguel-pesce-el-banco-central-tiene-37-billones-esterilizados-leliq-y-pases-que-necesitamos-se-transformen-inversion-n5247516
6," Australia ve en Argentina ""potencial para liderar el desarrollo del litio""",https://www.ambito.com/energia/australia/ve-argentina-potencial-liderar-el-desarrollo-del-litio-n5247452
7, Litio: Argentina contará con una  planta de fabricación de baterías,https://www.ambito.com/informacion-general/universidades/litio-argentina-contara-una-planta-fabricacion-baterias-n5224211
8, El litio: guerra entre lo moderno y lo ancestral,https://www.ambito.com/espectaculos/el-litio-guerra-lo-moderno-y-lo-ancestral-n5243467
9, Cuáles fueron las primeras declaraciones de Taiana y Zabaleta como ministros,https://www.ambito.com/politica/jorge-taiana/cuales-fueron-las-primeras-declaraciones-y-juachi-zabaleta-como-ministros-n5247504
10," Alberto Fernández y una señal para Agustín Rossi: ""Nuestra amistad nunca se quebró ni se va a quebrar""",https://www.ambito.com/politica/alberto-fernandez/y-una-senal-agustin-rossi-nuestra-amistad-nunca-se-quebro-ni-se-va-quebrar-n5247497
11," La inflación de los trabajadores fue en julio del 2,9%",https://www.ambito.com/economia/trabajadores/la-inflacion-los-fue-julio-del-29-n5247218
