nro;titulo;link
1; Alberto Fernández reunió al Gabinete, con foco en las elecciones y en la pospandemia;https://www.ambito.com/politica/alberto-fernandez/reunio-al-gabinete-foco-las-elecciones-y-la-pospandemia-n5256203
2;" Persecución a Indalo: Justicia va tras maniobra de YPF de Macri y de Rufino, ""socio"" de ""Pepin"" Rodríguez Simón";https://www.ambito.com/politica/grupo-indalo/persecucion-indalo-justicia-va-maniobra-ypf-macri-y-rufino-socio-pepin-rodriguez-simon-n5256314
3; Bitcoin: ámbito en el evento clave para el mundo cripto;https://www.ambito.com/negocios/blockchain/bitcoin-ambito-el-evento-clave-el-mundo-cripto-n5252378
4; Bitcoin camino a romper la barrera de los u$s50.000 ¿hasta donde puede llegar?;https://www.ambito.com/finanzas/bitcoin/camino-romper-la-barrera-los-us50000-hasta-donde-puede-llegar-n5256495
5; El dólar CCL sube 2% y llega a los $172, en un mercado con mucha volatilidad;https://www.ambito.com/finanzas/dolar/hoy-cuanto-cotiza-este-viernes-20-agosto-n5255995
6; El dólar blue rebota luego de tocar mínimos de una semana;https://www.ambito.com/finanzas/dolar-blue/hoy-cuanto-cotiza-este-viernes-20-agosto-n5255994
7;" Mauricio Macri se metió en la campaña: ""El kirchnerismo nos llevó al país de morondanga""";https://www.ambito.com/politica/elecciones-2021/mauricio-macri-se-metio-la-campana-el-kirchnerismo-nos-llevo-al-pais-morondanga-n5256355
8;" Reunión en Olivos: ""El Presidente está a disposición de la Justicia"" ";https://www.ambito.com/politica/alberto-fernandez/reunion-olivos-santiago-cafiero-aseguro-que-esta-disposicion-la-justicia-n5256419
9; Contrabando de armas a Bolivia: se complica la situación de Marcos Peña;https://www.ambito.com/politica/bolivia/contrabando-armas-se-complica-la-situacion-marcos-pena-n5256362
10; Por qué la deuda local sudamericana está siendo golpeada por todos lados;https://www.ambito.com/finanzas/deuda/por-que-la-local-sudamericana-esta-siendo-golpeada-todos-lados-n5256353
11; Salarios: Repro II se extiende a agosto con cambios;https://www.ambito.com/economia/repro/salarios-2-se-extiende-agosto-cambios-n5256058
12; Bitcoin: salta el precio, recibe críticas, pero un detractor se arrepiente;https://www.ambito.com/finanzas/bitcoin/salta-el-precio-recibe-criticas-pero-un-detractor-se-arrepiente-n5256044
13; Con un ramo de flores en mano, Vladimir Putin se despidió de Angela Merkel;https://www.ambito.com/mundo/vladimir-putin/con-un-ramo-flores-mano-se-despidio-angela-merkel-n5256490
